Filename,Prompt,Language,Score_Level,essay_len,num_sentence,the_count,the_freq,aan_count,aan_freq,one_count,one_freq,demo_sing_count,demo_sing_freq,demo_pl_count,demo_pl_freq
666.txt,P2,ZHO,medium,361,26,6,0.016620499,9,0.024930748,0,0,3,0.008310249,0,0
3323.txt,P7,ZHO,medium,361,18,35,0.096952909,8,0.022160665,0,0,4,0.011080332,1,0.002770083
8966.txt,P7,ZHO,medium,320,16,15,0.046875,4,0.0125,2,0.00625,4,0.0125,0,0
10535.txt,P7,ZHO,medium,406,21,17,0.041871921,8,0.019704433,3,0.007389163,16,0.039408867,1,0.002463054
10670.txt,P7,ZHO,medium,359,25,27,0.075208914,1,0.002785515,2,0.005571031,8,0.022284123,1,0.002785515
18690.txt,P1,ZHO,medium,333,22,13,0.039039039,9,0.027027027,4,0.012012012,3,0.009009009,0,0
18772.txt,P5,ZHO,medium,390,29,14,0.035897436,15,0.038461538,2,0.005128205,7,0.017948718,1,0.002564103
20376.txt,P1,ZHO,medium,350,20,19,0.054285714,11,0.031428571,1,0.002857143,8,0.022857143,0,0
22698.txt,P5,ZHO,high,465,25,27,0.058064516,7,0.015053763,2,0.004301075,11,0.023655914,2,0.004301075
24202.txt,P8,ZHO,medium,393,21,7,0.017811705,22,0.055979644,2,0.005089059,12,0.030534351,0,0
24312.txt,P4,ZHO,medium,300,24,11,0.036666667,3,0.01,1,0.003333333,2,0.006666667,0,0
24427.txt,P7,ZHO,medium,340,16,30,0.088235294,2,0.005882353,1,0.002941176,12,0.035294118,1,0.002941176
26125.txt,P5,ZHO,medium,340,18,27,0.079411765,1,0.002941176,0,0,6,0.017647059,0,0
29397.txt,P4,ZHO,medium,328,21,22,0.067073171,7,0.021341463,0,0,13,0.039634146,0,0
29905.txt,P2,ZHO,low,304,25,15,0.049342105,3,0.009868421,0,0,3,0.009868421,0,0
29959.txt,P1,ZHO,high,355,20,8,0.022535211,16,0.045070423,4,0.011267606,14,0.03943662,2,0.005633803
33102.txt,P8,ZHO,medium,206,4,11,0.053398058,4,0.019417476,1,0.004854369,4,0.019417476,0,0
34393.txt,P8,ZHO,medium,295,19,17,0.057627119,3,0.010169492,0,0,6,0.020338983,0,0
35420.txt,P5,ZHO,medium,280,20,10,0.035714286,5,0.017857143,0,0,2,0.007142857,1,0.003571429
36300.txt,P7,ZHO,medium,251,15,24,0.09561753,1,0.003984064,0,0,1,0.003984064,0,0
37807.txt,P4,ZHO,medium,269,21,8,0.029739777,7,0.026022305,3,0.011152416,2,0.007434944,1,0.003717472
41900.txt,P4,ZHO,low,186,11,11,0.059139785,1,0.005376344,2,0.010752688,4,0.021505376,2,0.010752688
42600.txt,P2,ZHO,medium,314,20,22,0.070063694,5,0.015923567,0,0,5,0.015923567,2,0.006369427
43558.txt,P1,ZHO,medium,250,15,7,0.028,10,0.04,2,0.008,2,0.008,0,0
46827.txt,P1,ZHO,medium,298,23,8,0.026845638,5,0.016778523,1,0.003355705,3,0.010067114,0,0
47554.txt,P5,ZHO,medium,342,20,24,0.070175439,7,0.020467836,2,0.005847953,6,0.01754386,1,0.002923977
47814.txt,P7,ZHO,high,279,16,20,0.071684588,4,0.014336918,0,0,5,0.017921147,0,0
50082.txt,P4,ZHO,medium,335,25,22,0.065671642,2,0.005970149,1,0.002985075,8,0.023880597,1,0.002985075
52674.txt,P5,ZHO,medium,272,10,8,0.029411765,2,0.007352941,0,0,4,0.014705882,0,0
52951.txt,P2,ZHO,high,326,19,16,0.049079755,2,0.006134969,0,0,7,0.021472393,0,0
57757.txt,P1,ZHO,medium,285,13,5,0.01754386,8,0.028070175,2,0.007017544,9,0.031578947,1,0.003508772
59730.txt,P5,ZHO,low,182,12,17,0.093406593,1,0.005494505,2,0.010989011,3,0.016483516,0,0
60162.txt,P7,ZHO,high,487,20,26,0.05338809,5,0.01026694,3,0.006160164,14,0.028747433,2,0.004106776
69177.txt,P1,ZHO,medium,186,7,4,0.021505376,5,0.02688172,2,0.010752688,0,0,0,0
70644.txt,P5,ZHO,medium,336,16,21,0.0625,5,0.014880952,3,0.008928571,8,0.023809524,1,0.00297619
70661.txt,P8,ZHO,high,347,23,19,0.054755043,2,0.005763689,1,0.002881844,4,0.011527378,0,0
73212.txt,P7,ZHO,medium,324,18,22,0.067901235,6,0.018518519,0,0,8,0.024691358,1,0.00308642
73721.txt,P2,ZHO,medium,322,19,7,0.02173913,4,0.01242236,0,0,4,0.01242236,1,0.00310559
78009.txt,P3,ZHO,medium,314,15,19,0.060509554,2,0.006369427,0,0,6,0.01910828,1,0.003184713
79025.txt,P7,ZHO,medium,316,23,13,0.041139241,3,0.009493671,3,0.009493671,11,0.034810127,0,0
79224.txt,P2,ZHO,high,494,27,18,0.036437247,8,0.016194332,0,0,6,0.012145749,1,0.002024291
79442.txt,P8,ZHO,medium,317,19,14,0.044164038,6,0.018927445,1,0.003154574,6,0.018927445,5,0.015772871
81437.txt,P7,ZHO,high,452,20,32,0.07079646,17,0.037610619,1,0.002212389,4,0.008849558,0,0
81507.txt,P8,ZHO,medium,470,18,27,0.057446809,15,0.031914894,1,0.00212766,9,0.019148936,0,0
82613.txt,P1,ZHO,medium,328,16,32,0.097560976,4,0.012195122,2,0.006097561,8,0.024390244,1,0.00304878
82993.txt,P8,ZHO,medium,328,13,0,0,7,0.021341463,0,0,6,0.018292683,0,0
94655.txt,P5,ZHO,medium,285,25,19,0.066666667,0,0,3,0.010526316,1,0.003508772,0,0
95789.txt,P1,ZHO,high,323,14,8,0.024767802,14,0.043343653,3,0.009287926,4,0.012383901,1,0.003095975
96442.txt,P6,ZHO,medium,330,15,16,0.048484848,19,0.057575758,2,0.006060606,1,0.003030303,1,0.003030303
98093.txt,P5,ZHO,medium,339,18,22,0.064896755,12,0.03539823,1,0.002949853,4,0.01179941,3,0.008849558
102695.txt,P7,ZHO,low,184,12,9,0.048913043,6,0.032608696,1,0.005434783,3,0.016304348,1,0.005434783
103424.txt,P2,ZHO,high,388,28,5,0.012886598,11,0.028350515,0,0,8,0.020618557,0,0
103545.txt,P4,ZHO,high,397,29,29,0.073047859,12,0.0302267,1,0.002518892,2,0.005037783,2,0.005037783
104966.txt,P1,ZHO,high,446,19,10,0.022421525,9,0.020179372,4,0.00896861,3,0.006726457,0,0
105061.txt,P8,ZHO,high,346,17,8,0.023121387,18,0.052023121,2,0.005780347,4,0.011560694,1,0.002890173
105404.txt,P2,ZHO,medium,232,17,8,0.034482759,5,0.021551724,1,0.004310345,4,0.017241379,0,0
105670.txt,P5,ZHO,low,76,4,1,0.013157895,0,0,0,0,1,0.013157895,0,0
106584.txt,P8,ZHO,medium,325,27,25,0.076923077,6,0.018461538,4,0.012307692,3,0.009230769,0,0
107816.txt,P6,ZHO,low,158,14,7,0.044303797,9,0.056962025,0,0,2,0.012658228,0,0
108367.txt,P2,ZHO,medium,373,19,24,0.064343164,6,0.016085791,0,0,10,0.026809651,0,0
109346.txt,P3,ZHO,medium,299,17,8,0.026755853,4,0.013377926,0,0,4,0.013377926,2,0.006688963
110274.txt,P1,ZHO,medium,328,19,11,0.033536585,16,0.048780488,4,0.012195122,3,0.009146341,2,0.006097561
110423.txt,P6,ZHO,high,489,21,37,0.075664622,21,0.042944785,2,0.00408998,2,0.00408998,0,0
111230.txt,P6,ZHO,medium,349,18,14,0.040114613,22,0.063037249,0,0,8,0.022922636,0,0
112805.txt,P1,ZHO,medium,303,18,4,0.01320132,2,0.00660066,10,0.0330033,4,0.01320132,0,0
114592.txt,P1,ZHO,medium,335,21,13,0.03880597,17,0.050746269,3,0.008955224,0,0,0,0
117426.txt,P5,ZHO,medium,367,16,30,0.081743869,6,0.016348774,1,0.002724796,8,0.021798365,0,0
118886.txt,P7,ZHO,medium,260,11,18,0.069230769,1,0.003846154,0,0,4,0.015384615,0,0
119361.txt,P5,ZHO,medium,354,16,27,0.076271186,8,0.02259887,2,0.005649718,10,0.028248588,4,0.011299435
120793.txt,P3,ZHO,high,271,18,7,0.025830258,4,0.014760148,2,0.007380074,2,0.007380074,2,0.007380074
122043.txt,P6,ZHO,high,331,16,12,0.036253776,15,0.045317221,0,0,4,0.012084592,0,0
129159.txt,P6,ZHO,medium,384,20,26,0.067708333,15,0.0390625,2,0.005208333,1,0.002604167,0,0
130222.txt,P3,ZHO,medium,335,16,21,0.062686567,2,0.005970149,0,0,5,0.014925373,2,0.005970149
133707.txt,P2,ZHO,medium,325,19,18,0.055384615,1,0.003076923,0,0,5,0.015384615,0,0
135427.txt,P1,ZHO,medium,334,19,13,0.038922156,12,0.035928144,2,0.005988024,4,0.011976048,2,0.005988024
136035.txt,P2,ZHO,medium,247,12,17,0.068825911,2,0.008097166,0,0,3,0.012145749,0,0
136109.txt,P4,ZHO,medium,327,27,15,0.04587156,11,0.033639144,0,0,3,0.009174312,0,0
136346.txt,P5,ZHO,low,355,9,36,0.101408451,9,0.025352113,0,0,16,0.045070423,0,0
139592.txt,P6,ZHO,medium,354,20,20,0.056497175,8,0.02259887,0,0,5,0.014124294,1,0.002824859
139743.txt,P6,ZHO,high,434,26,24,0.055299539,21,0.048387097,2,0.004608295,11,0.025345622,0,0
141650.txt,P7,ZHO,medium,258,19,20,0.07751938,0,0,0,0,1,0.003875969,0,0
146304.txt,P4,ZHO,high,308,19,19,0.061688312,9,0.029220779,1,0.003246753,0,0,2,0.006493506
147799.txt,P1,ZHO,medium,236,12,9,0.038135593,3,0.012711864,0,0,6,0.025423729,1,0.004237288
148941.txt,P4,ZHO,medium,383,29,6,0.015665796,16,0.041775457,5,0.01305483,8,0.020887728,1,0.002610966
152801.txt,P2,ZHO,high,539,34,27,0.050092764,6,0.011131725,0,0,8,0.014842301,1,0.001855288
153137.txt,P8,ZHO,medium,322,16,6,0.01863354,4,0.01242236,0,0,5,0.01552795,0,0
154213.txt,P2,ZHO,high,463,26,24,0.051835853,17,0.036717063,0,0,3,0.006479482,4,0.008639309
