Filename,Prompt,Language,Score_Level,essay_len,num_sentence,noun_count,verb_count,adj_count,modal_count,noun_per_sentence,verb_per_sentence,adj_per_sentence,modal_per_sentence,the_count,aan_count,one_count,this_count,that_count,these_count,those_count,other_det_count,PRP_count,the_freq,aan_freq,one_freq,this_freq,that_freq,these_freq,those_freq,other_det_freq,PRP_freq
666.txt,P2,ZHO,medium,362,26,66,64,47,7,2.538461538,2.461538462,1.807692308,0.269230769,6,9,1,2,0,0,0,4,14,0.016574586,0.024861878,0.002762431,0.005524862,0,0,0,0.011049724,0.038674033
3323.txt,P7,ZHO,medium,361,18,71,74,8,11,3.944444444,4.111111111,0.444444444,0.611111111,35,8,0,1,1,0,1,2,1,0.096952909,0.022160665,0,0.002770083,0.002770083,0,0.002770083,0.005540166,0.002770083
8966.txt,P7,ZHO,medium,321,16,75,61,24,7,4.6875,3.8125,1.5,0.4375,15,4,2,1,3,0,0,10,2,0.046728972,0.012461059,0.00623053,0.003115265,0.009345794,0,0,0.031152648,0.00623053
10535.txt,P7,ZHO,medium,406,21,77,86,50,5,3.666666667,4.095238095,2.380952381,0.238095238,17,8,3,7,2,1,0,5,2,0.041871921,0.019704433,0.007389163,0.017241379,0.004926108,0.002463054,0,0.012315271,0.004926108
10670.txt,P7,ZHO,medium,359,25,81,69,22,13,3.24,2.76,0.88,0.52,31,1,2,1,2,0,1,1,3,0.086350975,0.002785515,0.005571031,0.002785515,0.005571031,0,0.002785515,0.002785515,0.008356546
18690.txt,P1,ZHO,medium,333,22,80,58,35,14,3.636363636,2.636363636,1.590909091,0.636363636,15,11,4,0,0,0,0,3,6,0.045045045,0.033033033,0.012012012,0,0,0,0,0.009009009,0.018018018
18772.txt,P5,ZHO,medium,390,29,104,68,43,16,3.586206897,2.344827586,1.482758621,0.551724138,15,15,2,1,1,1,0,5,4,0.038461538,0.038461538,0.005128205,0.002564103,0.002564103,0.002564103,0,0.012820513,0.01025641
20376.txt,P1,ZHO,medium,350,20,94,53,45,13,4.7,2.65,2.25,0.65,19,12,1,0,2,0,0,5,3,0.054285714,0.034285714,0.002857143,0,0.005714286,0,0,0.014285714,0.008571429
22698.txt,P5,ZHO,high,465,25,122,80,47,23,4.88,3.2,1.88,0.92,27,7,3,6,0,2,0,1,7,0.058064516,0.015053763,0.006451613,0.012903226,0,0.004301075,0,0.002150538,0.015053763
24202.txt,P8,ZHO,medium,393,21,90,66,49,15,4.285714286,3.142857143,2.333333333,0.714285714,8,23,2,2,0,0,0,3,4,0.020356234,0.058524173,0.005089059,0.005089059,0,0,0,0.007633588,0.010178117
