file_id,num_uniq_word
1000025.txt,168
1000599.txt,119
1001566.txt,108
1003222.txt,155
1004306.txt,175
1004652.txt,158
1004862.txt,128
1005142.txt,149
1006179.txt,151
1007981.txt,142
1010664.txt,156
1010932.txt,161
1011110.txt,141
1011364.txt,133
1011418.txt,97
1011426.txt,156
1011805.txt,153
1012427.txt,123
1013669.txt,77
1014998.txt,144
1015056.txt,165
1017038.txt,176
1017608.txt,152
1018958.txt,150
1019743.txt,230
1020198.txt,160
1021281.txt,149
1021707.txt,173
1021877.txt,162
1023952.txt,155
1025558.txt,165
1025673.txt,136
1026061.txt,104
1026756.txt,104
102695.txt,91
1027345.txt,100
1027540.txt,138
1031293.txt,126
1033374.txt,130
103424.txt,164
103545.txt,194
1035814.txt,178
1036477.txt,156
1038048.txt,184
1038325.txt,173
1038419.txt,149
1039658.txt,136
1040067.txt,177
1041624.txt,171
1044003.txt,163
1044255.txt,154
1044423.txt,117
1045426.txt,197
1045762.txt,146
1045779.txt,100
1047495.txt,126
1047886.txt,138
1047983.txt,53
1049261.txt,108
1049329.txt,126
1049472.txt,113
104966.txt,176
1049951.txt,184
105061.txt,115
1053130.txt,187
10535.txt,189
105404.txt,134
1054640.txt,122
1054691.txt,118
1055656.txt,153
105670.txt,48
1060937.txt,109
1061753.txt,142
1062151.txt,139
1063116.txt,94
1063282.txt,145
1063514.txt,147
1064511.txt,147
1064740.txt,142
1065343.txt,199
1065788.txt,187
106584.txt,147
1065943.txt,158
1066683.txt,148
1066847.txt,102
10670.txt,125
1067754.txt,127
1070349.txt,151
1070521.txt,141
1072658.txt,129
1073147.txt,134
1073628.txt,144
1075905.txt,162
1078004.txt,130
107816.txt,79
1080962.txt,178
1082237.txt,195
1082245.txt,160
1083446.txt,112
108367.txt,134
1085733.txt,112
1087264.txt,146
1087703.txt,127
1087758.txt,156
1089378.txt,148
1089601.txt,151
1089959.txt,159
1090399.txt,152
1091257.txt,114
1091720.txt,229
1092773.txt,113
109346.txt,146
1096313.txt,168
1096593.txt,122
1097710.txt,161
1099106.txt,148
1099400.txt,144
1100270.txt,174
1100401.txt,133
1101265.txt,149
110274.txt,160
110423.txt,184
1106726.txt,92
1107034.txt,130
1107311.txt,102
1107491.txt,151
1108278.txt,137
111230.txt,132
1112819.txt,107
1114825.txt,139
1116411.txt,140
1118473.txt,154
1118487.txt,177
1118568.txt,106
1118619.txt,135
1118901.txt,120
1119329.txt,180
1123805.txt,171
1124819.txt,134
1126001.txt,138
112805.txt,110
1129637.txt,155
1131172.txt,156
1132436.txt,117
1133601.txt,185
1133609.txt,93
1133647.txt,148
1135467.txt,161
1136310.txt,118
1136540.txt,163
1136859.txt,100
1137238.txt,158
1139333.txt,129
1139576.txt,139
1139910.txt,148
1140045.txt,146
1142118.txt,221
1142499.txt,153
1142846.txt,175
1143786.txt,67
1144227.txt,101
1145444.txt,211
114592.txt,178
1147630.txt,160
1147734.txt,148
1150400.txt,141
1151942.txt,130
1152615.txt,135
1154100.txt,108
1157285.txt,134
1157948.txt,158
1158307.txt,134
1158630.txt,170
1161586.txt,162
1162739.txt,129
1162943.txt,123
1165071.txt,129
1165565.txt,159
1166105.txt,176
1167334.txt,177
1168987.txt,183
1169170.txt,186
1169848.txt,188
1170049.txt,92
1170856.txt,115
1172332.txt,162
1173871.txt,142
117426.txt,185
1175182.txt,96
1175383.txt,136
1175987.txt,143
1176638.txt,131
1177255.txt,200
1178982.txt,162
1179682.txt,126
1180577.txt,152
1181311.txt,117
1185938.txt,141
1187044.txt,147
1188004.txt,143
1188748.txt,178
1188792.txt,162
118886.txt,108
1190407.txt,109
1190793.txt,135
1190908.txt,209
1192415.txt,138
119361.txt,164
1198112.txt,173
1200966.txt,89
1202837.txt,94
1203095.txt,135
1205275.txt,184
1207331.txt,175
120793.txt,162
1208371.txt,135
1212423.txt,59
1216752.txt,137
1218061.txt,161
1219033.txt,169
1219938.txt,143
122043.txt,153
1225805.txt,107
1229862.txt,272
1231169.txt,201
1231684.txt,186
1232625.txt,132
1233176.txt,130
1233798.txt,155
1235039.txt,119
1236188.txt,149
1237393.txt,133
1241893.txt,152
1244877.txt,145
1247710.txt,177
1249331.txt,189
1249550.txt,162
1252690.txt,145
1259835.txt,155
1260549.txt,112
1261571.txt,83
1262051.txt,115
1265643.txt,131
1265932.txt,108
1266148.txt,155
1267349.txt,147
1268389.txt,134
1271654.txt,143
1273125.txt,86
1273337.txt,116
1277669.txt,137
1280579.txt,156
1282758.txt,136
1283134.txt,120
1285608.txt,153
1286791.txt,129
129159.txt,174
1291998.txt,184
1293242.txt,185
1295067.txt,163
1299271.txt,82
1299460.txt,116
1302106.txt,141
130222.txt,140
1302467.txt,84
1302839.txt,134
1303755.txt,137
1304031.txt,152
1304821.txt,174
1305928.txt,162
1306607.txt,141
1313262.txt,165
1314094.txt,182
1314405.txt,130
1318064.txt,90
1318929.txt,188
1322168.txt,160
1323900.txt,127
1327245.txt,168
1327693.txt,143
1328828.txt,148
1329399.txt,112
1332708.txt,185
1332898.txt,140
1333442.txt,138
1334380.txt,124
1335119.txt,124
1336852.txt,172
133707.txt,151
1341859.txt,179
1342967.txt,116
1347639.txt,102
1349217.txt,155
1352604.txt,133
1352771.txt,127
1354231.txt,124
135427.txt,167
1358050.txt,147
1358886.txt,148
1359280.txt,145
136035.txt,96
1360982.txt,132
136109.txt,164
1361756.txt,157
1362211.txt,185
1362751.txt,109
1363228.txt,143
136346.txt,160
1364304.txt,115
1366347.txt,152
1369110.txt,185
1370765.txt,128
1371749.txt,103
1378284.txt,146
1379675.txt,156
1379718.txt,117
1382402.txt,209
1384742.txt,146
1386341.txt,145
1386885.txt,148
1387104.txt,116
1387160.txt,127
1388174.txt,107
1388232.txt,143
139592.txt,167
139743.txt,173
1402357.txt,148
1403787.txt,124
1404380.txt,129
1405607.txt,125
1406462.txt,161
1409265.txt,161
1410631.txt,152
1410658.txt,103
1412511.txt,131
1412682.txt,178
141650.txt,107
1418894.txt,128
1419598.txt,150
1425368.txt,168
1428321.txt,156
1443965.txt,162
1445231.txt,154
1447096.txt,110
1451465.txt,126
1452938.txt,168
1459676.txt,127
1460903.txt,101
1461704.txt,147
1462587.txt,167
146304.txt,154
1466256.txt,128
1468002.txt,173
1472470.txt,188
1474964.txt,131
1477226.txt,155
1477480.txt,160
147799.txt,96
1480574.txt,164
1480791.txt,173
1481490.txt,75
1484958.txt,115
1485238.txt,142
1486979.txt,180
1487962.txt,165
1488298.txt,164
1488357.txt,125
148941.txt,148
1489661.txt,138
1490428.txt,183
1490907.txt,143
1494104.txt,169
1494213.txt,115
1500808.txt,144
1504515.txt,132
1505545.txt,156
1505558.txt,129
1506718.txt,163
1507276.txt,154
1509352.txt,122
1512074.txt,149
1513175.txt,160
1513527.txt,150
1516048.txt,155
1517387.txt,174
1518647.txt,172
1520620.txt,150
1520668.txt,142
1522870.txt,155
1527458.txt,183
1527646.txt,141
152801.txt,251
1529155.txt,148
153137.txt,159
1532807.txt,143
1533202.txt,162
1534099.txt,115
1535038.txt,128
1536546.txt,227
1539883.txt,151
1541306.txt,151
154213.txt,222
1542361.txt,160
1542725.txt,174
1546120.txt,119
1547352.txt,120
1550812.txt,155
1552231.txt,125
155456.txt,142
1557562.txt,159
1559407.txt,172
1560407.txt,117
1561226.txt,207
1562965.txt,134
1563843.txt,185
156421.txt,88
1564937.txt,139
1565064.txt,151
1567661.txt,188
156787.txt,163
1568371.txt,142
1569246.txt,156
1570888.txt,132
1574678.txt,124
1575943.txt,157
1578266.txt,113
1579182.txt,195
1579808.txt,182
1580496.txt,178
1581197.txt,134
1581797.txt,137
1587591.txt,115
1587967.txt,128
1589013.txt,157
1589048.txt,165
1589226.txt,162
1589353.txt,137
159000.txt,120
1590009.txt,96
1591525.txt,150
1591671.txt,207
1598191.txt,143
159928.txt,149
1602465.txt,15
1603663.txt,192
1606808.txt,127
1606909.txt,154
1607351.txt,124
1609903.txt,163
1610071.txt,157
161127.txt,98
1612027.txt,148
1621118.txt,189
162639.txt,168
1629080.txt,106
1630591.txt,130
1630753.txt,156
1630952.txt,129
1634341.txt,134
1636628.txt,116
1636724.txt,138
1640909.txt,149
1641717.txt,108
1642079.txt,199
1644862.txt,135
164537.txt,195
1646766.txt,120
1647117.txt,68
1648610.txt,140
1652492.txt,110
1652868.txt,182
1656255.txt,97
1656634.txt,127
1657058.txt,152
1657086.txt,134
1657795.txt,120
1658009.txt,93
1659605.txt,162
1664388.txt,127
166869.txt,138
1671037.txt,109
1672821.txt,145
167685.txt,169
1680732.txt,173
1681984.txt,130
1682446.txt,120
1682448.txt,124
1685228.txt,123
1686490.txt,141
1687301.txt,121
1689041.txt,198
1691426.txt,154
1695790.txt,168
1696576.txt,116
169720.txt,192
1698630.txt,171
1701561.txt,101
1703148.txt,72
1705305.txt,173
1708317.txt,109
1710562.txt,192
1712028.txt,146
1714385.txt,187
1717493.txt,179
1719460.txt,171
1722823.txt,133
1723751.txt,144
1724253.txt,158
1726605.txt,159
1726679.txt,141
172746.txt,142
1728603.txt,151
1729641.txt,196
1730482.txt,155
1730701.txt,135
173335.txt,179
1733443.txt,136
1734065.txt,128
1734732.txt,136
1738777.txt,158
1745000.txt,218
1745915.txt,124
174779.txt,124
1747868.txt,149
1749313.txt,213
1754555.txt,135
1764148.txt,104
1765684.txt,177
1767030.txt,114
1767803.txt,265
1769428.txt,145
1770864.txt,135
1770915.txt,128
177119.txt,147
