file_id,num_sent,word_count,count_the,count_this,count_that,count_these,count_those,count_a,count_an,count_one,freq_the,freq_this,freq_that,freq_these,freq_those,freq_a,freq_an,freq_one
pbio.0020001,80,2469,200,9,33,12,6,36,3,4,0.08100445524503848,0.0036452004860267314,0.013365735115431349,0.004860267314702308,0.002430133657351154,0.014580801944106925,0.001215066828675577,0.0016200891049007696
pbio.0020010,37,976,63,2,15,0,0,23,8,2,0.06454918032786885,0.0020491803278688526,0.015368852459016393,0.0,0.0,0.0235655737704918,0.00819672131147541,0.0020491803278688526
pbio.0020012,87,2500,115,3,59,10,5,55,9,6,0.046,0.0012,0.0236,0.004,0.002,0.022,0.0036,0.0024
pbio.0020013,81,1597,114,11,16,5,0,31,12,1,0.07138384470882905,0.0068879148403256105,0.010018785222291797,0.0031308703819661866,0.0,0.019411396368190358,0.007514088916718848,0.0006261740763932373
pbio.0020019,67,1680,102,13,26,9,2,29,16,8,0.060714285714285714,0.007738095238095238,0.015476190476190477,0.005357142857142857,0.0011904761904761906,0.017261904761904763,0.009523809523809525,0.004761904761904762
pbio.0020028,101,2369,133,4,22,2,1,61,14,6,0.05614183199662305,0.0016884761502743773,0.009286618826509076,0.0008442380751371887,0.00042211903756859433,0.025749261291684256,0.0059096665259603205,0.002532714225411566
pbio.0020035,78,2034,167,15,21,3,3,45,9,3,0.08210422812192723,0.007374631268436578,0.01032448377581121,0.0014749262536873156,0.0014749262536873156,0.022123893805309734,0.004424778761061947,0.0014749262536873156
pbio.0020040,47,1081,60,11,19,6,0,31,4,3,0.05550416281221091,0.010175763182238668,0.01757631822386679,0.005550416281221091,0.0,0.028677150786308975,0.0037002775208140612,0.0027752081406105457
pbio.0020042,58,1456,95,12,27,10,5,45,7,10,0.06524725274725275,0.008241758241758242,0.018543956043956044,0.006868131868131868,0.003434065934065934,0.030906593406593408,0.004807692307692308,0.006868131868131868
pbio.0020043,120,2847,191,15,39,8,3,64,8,12,0.06708816297857394,0.005268703898840885,0.0136986301369863,0.0028099754127151387,0.001053740779768177,0.02247980330172111,0.0028099754127151387,0.004214963119072708
pbio.0020046,152,2559,98,19,31,9,2,58,15,4,0.03829620945681907,0.007424775302852677,0.01211410707307542,0.0035169988276670576,0.0007815552950371239,0.022665103556076593,0.005861664712778429,0.0015631105900742479
