Filename,Prompt,Language,Score_Level,essay_len,num_sentence,the_count,the_freq,aan_count,aan_freq,one_count,one_freq,demo_sing_count,demo_sing_freq,demo_pl_count,demo_pl_freq
1612.txt,P6,SPA,medium,348,9,18,0.051724138,12,0.034482759,1,0.002873563,8,0.022988506,0,0
4519.txt,P8,SPA,medium,226,12,3,0.013274336,11,0.048672566,2,0.008849558,1,0.004424779,0,0
6614.txt,P2,SPA,low,270,17,14,0.051851852,1,0.003703704,0,0,5,0.018518519,0,0
6736.txt,P2,SPA,high,443,23,16,0.036117381,11,0.0248307,1,0.002257336,13,0.029345372,1,0.002257336
9329.txt,P8,SPA,high,312,17,17,0.054487179,8,0.025641026,1,0.003205128,10,0.032051282,0,0
10081.txt,P4,SPA,high,373,19,26,0.069705094,15,0.040214477,2,0.00536193,7,0.018766756,2,0.00536193
10769.txt,P1,SPA,high,360,12,10,0.027777778,10,0.027777778,8,0.022222222,1,0.002777778,0,0
11580.txt,P5,SPA,high,334,19,9,0.026946108,2,0.005988024,1,0.002994012,12,0.035928144,3,0.008982036
12040.txt,P8,SPA,medium,324,9,6,0.018518519,5,0.015432099,0,0,7,0.021604938,0,0
15663.txt,P6,SPA,high,348,20,20,0.057471264,14,0.040229885,0,0,6,0.017241379,0,0
16038.txt,P1,SPA,medium,254,6,35,0.137795276,4,0.015748031,0,0,7,0.027559055,0,0
21595.txt,P6,SPA,medium,303,15,18,0.059405941,18,0.059405941,0,0,5,0.01650165,0,0
22056.txt,P2,SPA,medium,337,10,14,0.041543027,10,0.029673591,0,0,10,0.029673591,0,0
23925.txt,P2,SPA,high,479,16,17,0.035490605,13,0.027139875,0,0,20,0.041753653,2,0.004175365
28532.txt,P4,SPA,low,210,7,20,0.095238095,7,0.033333333,0,0,10,0.047619048,0,0
28609.txt,P4,SPA,high,501,22,26,0.051896208,18,0.035928144,0,0,10,0.01996008,1,0.001996008
29693.txt,P5,SPA,medium,322,15,17,0.052795031,3,0.00931677,2,0.00621118,11,0.034161491,0,0
31998.txt,P1,SPA,high,341,15,22,0.064516129,16,0.046920821,5,0.014662757,10,0.029325513,0,0
32073.txt,P1,SPA,high,377,13,10,0.026525199,14,0.037135279,3,0.00795756,5,0.013262599,1,0.00265252
34125.txt,P6,SPA,high,384,16,21,0.0546875,8,0.020833333,0,0,5,0.013020833,0,0
35950.txt,P8,SPA,medium,327,1,9,0.027522936,9,0.027522936,0,0,9,0.027522936,0,0
36328.txt,P7,SPA,high,275,14,12,0.043636364,5,0.018181818,0,0,5,0.018181818,1,0.003636364
36602.txt,P7,SPA,high,394,20,15,0.038071066,14,0.035532995,2,0.005076142,12,0.030456853,1,0.002538071
36673.txt,P4,SPA,high,368,14,29,0.078804348,7,0.019021739,1,0.002717391,6,0.016304348,0,0
37703.txt,P6,SPA,high,333,15,14,0.042042042,16,0.048048048,4,0.012012012,9,0.027027027,0,0
