Filename,Prompt,Language,Score_Level,essay_len,num_sentence,noun_count,verb_count,adj_count,modal_count,noun_per_sentence,verb_per_sentence,adj_per_sentence,modal_per_sentence,the_count,aan_count,one_count,this_count,that_count,these_count,those_count,other_det_count,the_freq,aan_freq,one_freq,this_freq,that_freq,these_freq,those_freq,other_det_freq
1612.txt,P6,SPA,medium,350,9,63,74,14,4,7,8.222222222,1.555555556,0.444444444,18,12,1,0,0,0,0,1,0.051428571,0.034285714,0.002857143,0,0,0,0,0.002857143
4519.txt,P8,SPA,medium,225,12,45,48,31,6,3.75,4,2.583333333,0.5,3,11,3,0,0,0,0,0,0.013333333,0.048888889,0.013333333,0,0,0,0,0
6614.txt,P2,SPA,low,271,17,62,47,29,13,3.647058824,2.764705882,1.705882353,0.764705882,19,1,0,3,0,0,0,4,0.070110701,0.003690037,0,0.011070111,0,0,0,0.014760148
6736.txt,P2,SPA,high,443,23,100,90,44,9,4.347826087,3.913043478,1.913043478,0.391304348,17,11,1,7,0,1,0,1,0.038374718,0.0248307,0.002257336,0.015801354,0,0.002257336,0,0.002257336
9329.txt,P8,SPA,high,312,17,93,56,33,2,5.470588235,3.294117647,1.941176471,0.117647059,18,8,1,0,1,0,0,2,0.057692308,0.025641026,0.003205128,0,0.003205128,0,0,0.006410256
10081.txt,P4,SPA,high,373,19,87,65,32,5,4.578947368,3.421052632,1.684210526,0.263157895,26,16,2,3,4,1,2,1,0.069705094,0.042895442,0.00536193,0.008042895,0.010723861,0.002680965,0.00536193,0.002680965
10769.txt,P1,SPA,high,360,12,75,69,36,8,6.25,5.75,3,0.666666667,12,11,8,0,0,0,0,5,0.033333333,0.030555556,0.022222222,0,0,0,0,0.013888889
11580.txt,P5,SPA,high,334,19,75,65,21,14,3.947368421,3.421052632,1.105263158,0.736842105,9,3,2,1,2,3,0,7,0.026946108,0.008982036,0.005988024,0.002994012,0.005988024,0.008982036,0,0.020958084
12040.txt,P8,SPA,medium,324,9,66,68,20,9,7.333333333,7.555555556,2.222222222,1,6,5,0,6,2,0,0,5,0.018518519,0.015432099,0,0.018518519,0.00617284,0,0,0.015432099
15663.txt,P6,SPA,high,348,20,95,58,31,12,4.75,2.9,1.55,0.6,20,14,0,6,0,1,0,2,0.057471264,0.040229885,0,0.017241379,0,0.002873563,0,0.005747126
