file_id,num_sent,word_count,count_the,count_this,count_that,count_these,count_those,count_a,count_an,count_one,freq_the,freq_this,freq_that,freq_these,freq_those,freq_a,freq_an,freq_one
VOL15_1,592,16443,959,54,206,23,16,446,66,55,0.05832269050659855,0.003284072249589491,0.012528127470656207,0.0013987715137140425,0.0009730584443228121,0.027124004135498387,0.0040138660828316,0.0033448884023596667
VOL15_2,706,17076,975,51,245,15,25,457,66,70,0.057097680955727335,0.0029866479269149682,0.014347622394003279,0.0008784258608573436,0.001464043101428906,0.026762707894120403,0.003865073787772312,0.004099320684000937
VOL15_3,536,14780,845,61,201,11,20,363,85,81,0.05717185385656292,0.004127198917456022,0.013599458728010825,0.0007442489851150202,0.0013531799729364006,0.02456021650879567,0.005751014884979702,0.005480378890392422
VOL15_4,986,23064,1373,84,290,30,19,620,89,106,0.05953000346860909,0.0036420395421436005,0.01257370794311481,0.0013007284079084287,0.0008237946583420048,0.026881720430107527,0.0038588276101283385,0.004595907041276448
VOL16_1,792,17956,1051,66,252,18,20,504,71,56,0.05853196703051905,0.003675651592782357,0.014034306081532635,0.0010024504343951882,0.0011138338159946536,0.02806861216306527,0.00395411004678102,0.00311873468478503
VOL16_2,866,15998,957,49,156,15,9,405,75,53,0.05981997749718715,0.0030628828603575446,0.009751218902362795,0.0009376172021502688,0.0005625703212901612,0.025315664458057257,0.0046880860107513436,0.003312914114264283
VOL16_3,1070,23414,1225,70,256,23,25,631,98,101,0.052319125309643805,0.0029896643034082173,0.010933629452464337,0.0009823182711198428,0.0010677372512172204,0.026949688220722644,0.004185530024771504,0.004313658494917571
VOL16_4,736,16131,964,84,187,30,15,391,51,58,0.059760709193478395,0.005207364701506416,0.011592585704544045,0.001859773107680863,0.0009298865538404315,0.024239042836773913,0.003161614283057467,0.003595561341516335
VOL17_1,603,15637,898,81,246,23,25,402,66,76,0.057427895376350964,0.0051800217433011445,0.015731917887062737,0.001470870371554646,0.0015987721429941806,0.025708256059346422,0.004220758457504636,0.004860267314702308
VOL17_2,627,15382,1001,87,184,25,20,386,66,63,0.06507606293069822,0.005655961513457288,0.01196203354570277,0.001625276296970485,0.001300221037576388,0.02509426602522429,0.00429072942400208,0.0040956962683656225
VOL17_3,633,14715,846,79,209,25,25,371,67,52,0.05749235474006116,0.005368671423717295,0.014203194019707781,0.0016989466530750934,0.0016989466530750934,0.025212368331634386,0.004553177030241251,0.0035338090383961944
